GEO,POPULATION_MUNICIPALE,NB_CONSEILLERS_TOTAL,TOTAL_HABITANTS_FICHIER_LOGEMENT,TOTAL_LOCATAIRES,PROPORTION_LOCATAIRES,NB_CONSEILLERS_LOCATAIRES
01141,423.0,11.0,423.0,43.0,10.16548463356974,1
01142,4741.0,27.0,4709.0,1536.0,32.61839031641537,9
01143,10300.0,33.0,10200.0,3913.0,38.36274509803921,13
01145,1225.0,15.0,1225.0,284.0,23.183673469387756,3
01146,453.0,11.0,453.0,77.0,16.99779249448124,2
01147,540.0,15.0,538.0,125.0,23.234200743494423,3
01148,2013.0,19.0,2013.0,644.0,31.992051664182814,6
01149,1108.0,15.0,1108.0,210.0,18.95306859205776,3
01150,215.0,11.0,215.0,52.0,24.186046511627907,3
01151,1144.0,15.0,1144.0,101.0,8.828671328671328,1
01152,774.0,15.0,774.0,79.0,10.20671834625323,2
01153,2227.0,19.0,2227.0,496.0,22.272114952851368,4
01155,143.0,11.0,143.0,29.0,20.27972027972028,2
01156,905.0,15.0,905.0,121.0,13.370165745856355,2
01157,2524.0,23.0,2524.0,415.0,16.44215530903328,4
01158,1065.0,15.0,1065.0,242.0,22.72300469483568,3
01159,3388.0,23.0,3361.0,1163.0,34.60279678667063,8
01160,11530.0,33.0,11345.0,7164.0,63.14676068752755,21
01162,64.0,7.0,64.0,9.0,14.0625,1
01163,2024.0,19.0,1991.0,373.0,18.734304369663484,4
01165,1593.0,19.0,1593.0,165.0,10.357815442561206,2
01166,2547.0,23.0,2547.0,526.0,20.651747153513938,5
01167,685.0,15.0,685.0,124.0,18.1021897810219,3
01169,675.0,15.0,675.0,69.0,10.222222222222223,2
01170,1048.0,15.0,1048.0,198.0,18.893129770992367,3
01171,843.0,15.0,843.0,209.0,24.79240806642942,4
01173,13455.0,33.0,13209.0,7174.0,54.31145431145431,18
01174,174.0,11.0,174.0,24.0,13.793103448275861,2
01175,782.0,15.0,782.0,255.0,32.608695652173914,5
01177,186.0,11.0,186.0,27.0,14.516129032258066,2
01179,1909.0,19.0,1909.0,392.0,20.534311157674175,4
01180,873.0,15.0,873.0,173.0,19.81672394043528,3
01181,1216.0,15.0,1142.0,205.0,17.950963222416814,3
01183,1503.0,19.0,1503.0,213.0,14.171656686626747,3
01184,754.0,15.0,754.0,137.0,18.169761273209552,3
01185,4790.0,27.0,4188.0,1611.0,38.46704871060172,10
01187,603.0,15.0,777.0,187.0,24.066924066924066,4
01188,696.0,15.0,696.0,108.0,15.517241379310345,2
01189,1123.0,15.0,1123.0,336.0,29.91985752448798,4
01190,92.0,7.0,92.0,25.0,27.173913043478258,2
01191,159.0,11.0,159.0,21.0,13.20754716981132,1
01192,2262.0,19.0,2249.0,1045.0,46.465095598043575,9
01193,223.0,11.0,223.0,42.0,18.83408071748879,2
01194,6315.0,29.0,6148.0,2283.0,37.134027325959664,11
01195,1900.0,19.0,1797.0,410.0,22.815804117974402,4
01196,1276.0,15.0,1273.0,271.0,21.28829536527887,3
01197,384.0,11.0,384.0,73.0,19.010416666666664,2
01198,262.0,11.0,262.0,132.0,50.38167938931297,6
01199,2209.0,19.0,2077.0,622.0,29.94703899855561,6
01200,207.0,11.0,207.0,77.0,37.19806763285024,4
01202,7321.0,29.0,7241.0,2689.0,37.135754730009666,11
01203,1292.0,15.0,1292.0,279.0,21.594427244582043,3
01204,740.0,15.0,740.0,124.0,16.756756756756758,3
01206,265.0,11.0,265.0,23.0,8.679245283018867,1
01207,337.0,11.0,337.0,45.0,13.353115727002967,1
01208,138.0,11.0,138.0,42.0,30.434782608695656,3
01209,887.0,15.0,887.0,228.0,25.70462232243517,4
01210,236.0,11.0,236.0,76.0,32.20338983050847,4
01211,1459.0,15.0,1459.0,368.0,25.222755311857437,4
01212,720.0,15.0,720.0,96.0,13.333333333333334,2
01213,1417.0,15.0,1417.0,356.0,25.12350035285815,4
01214,163.0,11.0,163.0,27.0,16.56441717791411,2
01215,140.0,11.0,140.0,27.0,19.28571428571429,2
01216,891.0,15.0,825.0,175.0,21.21212121212121,3
01219,162.0,11.0,162.0,48.0,29.629629629629626,3
01224,3468.0,23.0,3468.0,819.0,23.6159169550173,5
01225,404.0,11.0,404.0,24.0,5.9405940594059405,1
01227,651.0,15.0,651.0,94.0,14.439324116743471,2
01228,693.0,15.0,693.0,206.0,29.725829725829726,4
01229,1235.0,15.0,1235.0,341.0,27.61133603238866,4
01230,320.0,11.0,320.0,55.0,17.1875,2
01231,1985.0,19.0,1985.0,354.0,17.83375314861461,3
01232,2262.0,19.0,2216.0,438.0,19.76534296028881,4
01233,135.0,11.0,135.0,37.0,27.40740740740741,3
01234,164.0,11.0,164.0,26.0,15.853658536585366,2
01235,1186.0,15.0,1178.0,444.0,37.69100169779287,6
01236,1034.0,15.0,1034.0,157.0,15.18375241779497,2
01237,1667.0,19.0,1667.0,427.0,25.614877024595078,5
