TYPECOM,COM,NCC,NCCENR,LIBELLE,COMPARENT
COM,67123,ENGWILLER,Engwiller,Engwiller,
COM,67124,ENTZHEIM,Entzheim,Entzheim,
COM,67125,EPFIG,Epfig,Epfig,
COM,67126,ERCKARTSWILLER,Erckartswiller,Erckartswiller,
COM,67127,ERGERSHEIM,Ergersheim,Ergersheim,
COM,67128,ERNOLSHEIM BRUCHE,Ernolsheim-Bruche,Ernolsheim-Bruche,
COM,67129,ERNOLSHEIM LES SAVERNE,Ernolsheim-lès-Saverne,Ernolsheim-lès-Saverne,
COM,67130,ERSTEIN,Erstein,Erstein,
COM,67131,ESCHAU,Eschau,Eschau,
COM,67132,ESCHBACH,Eschbach,Eschbach,
COM,67133,ESCHBOURG,Eschbourg,Eschbourg,
COM,67134,ESCHWILLER,Eschwiller,Eschwiller,
COM,67135,ETTENDORF,Ettendorf,Ettendorf,
COM,67136,EYWILLER,Eywiller,Eywiller,
COM,67137,FEGERSHEIM,Fegersheim,Fegersheim,
COM,67138,FESSENHEIM LE BAS,Fessenheim-le-Bas,Fessenheim-le-Bas,
COM,67139,FLEXBOURG,Flexbourg,Flexbourg,
COM,67140,FORSTFELD,Forstfeld,Forstfeld,
COM,67141,FORSTHEIM,Forstheim,Forstheim,
COM,67142,FORT LOUIS,Fort-Louis,Fort-Louis,
COM,67143,FOUCHY,Fouchy,Fouchy,
COM,67144,FOUDAY,Fouday,Fouday,
COM,67145,FRIEDOLSHEIM,Friedolsheim,Friedolsheim,
COM,67146,FRIESENHEIM,Friesenheim,Friesenheim,
COM,67147,FROESCHWILLER,Frœschwiller,Frœschwiller,
COM,67148,FROHMUHL,Frohmuhl,Frohmuhl,
COM,67149,FURCHHAUSEN,Furchhausen,Furchhausen,
COM,67150,FURDENHEIM,Furdenheim,Furdenheim,
COM,67151,GAMBSHEIM,Gambsheim,Gambsheim,
COM,67152,GEISPOLSHEIM,Geispolsheim,Geispolsheim,
