GEO,OBS_VALUE,nombre_conseillers
10376,156,11
10132,256,11
10006,2779,23
12258,1001,15
14062,455,11
14274,2812,23
14563,467,11
14461,578,15
11274,363,11
12046,575,15
12197,1940,19
03016,142,11
02512,271,11
03047,400,11
02682,116,11
02351,117,11
02495,1033,15
02143,185,11
07203,119,11
08453,95,7
08466,72,7
01258,1202,15
05108,190,11
05122,896,15
06138,1418,15
05074,199,11
13074,5316,29
14391,430,11
14019,216,11
14220,3563,27
14562,2125,19
02746,683,15
02759,358,11
09222,24,7
10075,109,11
09182,741,15
09215,112,11
10156,715,15
11408,457,11
12155,335,11
12104,470,11
12015,229,11
11407,289,11
01076,127,11
02429,120,11
07315,384,11
08361,1637,19
07217,859,15
08366,652,15
08143,78,7
13099,886,15
14078,358,11
12236,157,11
14341,11868,33
14086,323,11
11365,42,7
09243,94,7
09314,247,11
09224,511,15
01085,391,11
06088,353701,73
04226,502,15
04240,254,11
07137,43,7
02199,590,15
02371,1563,19
02318,1362,15
02789,2574,23
02802,203,11
02539,672,15
11387,106,11
08482,102,11
07300,475,11
05168,739,15
04237,124,11
05155,33,7
04093,59,7
04214,127,11
07041,2255,19
14240,495,11
14116,118,11
14371,6183,29
14124,552,15
14380,204,11
12246,517,15
14346,697,15
10024,168,11
09114,132,11
09153,120,11
10401,2256,19
01142,4741,27
08190,6356,29
08325,24,7
07255,1464,15
01359,262,11
02472,403,11
02463,82,7
11111,940,15
12056,3168,23
11234,193,11
11438,366,11
11344,713,15
03265,648,15
02660,42,7
02552,180,11
06080,103,11
04129,57,7
04110,968,15
06092,1427,15
07234,274,11
08122,792,15
08175,254,11
09296,157,11
08420,1219,15
09109,185,11
09160,6018,29
09082,458,11
10388,44,7
10306,223,11
10118,96,7
13013,1978,19
13093,364,11
14228,5123,29
02465,527,15
02019,352,11
07084,1046,15
04194,97,7
11160,31,7
11378,207,11
11382,356,11
07277,148,11
08352,226,11
07296,1842,19
08456,233,11
02756,688,15
03296,376,11
02702,612,15
02604,78,7
02594,125,11
14166,2529,23
14077,781,15
14405,322,11
14205,214,11
14020,3940,27
12267,583,15
14150,1415,15
13014,13941,33
14030,1691,19
09295,95,7
10397,172,11
10390,110,11
09239,137,11
02502,1224,15
02007,119,11
01424,1845,19
02123,297,11
02071,633,15
06109,933,15
07107,1229,15
06127,1379,15
04081,382,11
02653,466,11
03280,181,11
02642,161,11
03303,224,11
04047,785,15
02626,339,11
12098,507,15
12194,885,15
12068,880,15
12222,193,11
11103,1130,15
11296,597,15
09199,694,15
10242,155,11
10351,350,11
10333,12695,33
10374,147,11
01344,6078,29
02106,809,15
02432,191,11
02118,130,11
08319,327,11
14328,1353,15
14293,268,11
14194,629,15
14076,5991,29
12284,349,11
07154,124,11
07098,78,7
06031,1276,15
03078,230,11
02605,191,11
02716,290,11
03087,592,15
11079,220,11
12053,345,11
12045,401,11
12036,632,15
11115,953,15
11027,787,15
01297,922,15
02229,76,7
02470,421,11
02180,737,15
01399,2676,23
02414,202,11
06039,985,15
07042,7506,29
05123,1675,19
05050,792,15
14474,198,11
13066,5918,29
13091,5877,29
12239,334,11
14527,545,15
14169,153,11
08251,65,7
07229,924,15
08424,131,11
07309,1502,19
08275,210,11
10043,114,11
09125,430,11
09194,3106,23
02580,811,15
02644,348,11
02737,549,15
04049,5095,29
12109,96,7
11124,644,15
11118,44,7
11137,133,11
11292,184,11
11359,487,11
02153,796,15
02500,813,15
01353,1741,19
01095,822,15
02253,358,11
02182,128,11
06104,12419,33
06091,2205,19
05111,281,11
08404,208,11
08282,1025,15
08351,66,7
08406,350,11
12276,386,11
13012,595,15
12219,371,11
13096,2278,19
14038,802,15
10067,1959,19
10129,312,11
10296,176,11
09266,83,7
09228,219,11
12094,970,15
11152,139,11
11093,28,7
02268,638,15
02493,216,11
02249,102,11
01430,664,15
06032,4491,27
04177,50,7
04138,278,11
03102,2970,23
02634,89,7
03099,380,11
02637,278,11
03029,823,15
07251,191,11
01083,1041,15
