GEO,PCS,OBS_VALUE
67430,2,27
67461,3,26
67483,4,25
67446,4,52
67437,9,1401
68110,6,143
68071,5,37
68044,5,119
68017,5,106
67556,7,34
67556,9,15
67509,2,5
67544,7,2361
68024,2,10
67526,2,68
68177,5,214
68205,6,136
68147,3,20
68212,1,16
68257,7,244
68266,2,37
68286,9,232
68308,6,58
68292,4,190
69058,3,15
69068,6,161
69071,3,232
68350,3,65
69033,6,123
68383,3,37
68089,2,41
68067,5,51
68096,9,27
68065,9,39
67542,2,17
67491,4,35
67491,5,30
68024,3,5
69203,3,65
69216,4,79
69231,9,200
69137,6,58
69169,9,30
67403,7,107
67463,9,289
68178,2,21
68142,1,12
68137,4,81
68209,2,19
68222,4,145
68312,2,15
68309,4,606
68268,4,75
69023,9,134
68334,3,519
68344,9,40
68328,6,32
67552,7,59
67505,2,21
68018,4,87
67519,1,5
67502,4,25
69042,9,55
69051,3,52
69096,4,1304
69087,9,315
69188,7,179
69235,5,219
69227,7,1109
68159,5,110
68182,3,202
68218,9,366
67415,9,34
67401,9,36
67408,3,52
67411,6,501
67395,4,49
67473,2,30
67410,3,53
68085,7,86
68066,7,15808
68127,1,5
68033,2,6
68116,3,60
68062,1,10
68268,9,60
68273,2,16
68248,2,10
67541,3,27
67526,4,300
67558,3,18
67509,4,49
68028,5,223
69190,6,82
69151,2,75
69200,9,124
69202,2,695
69179,3,430
69006,7,1465
69027,9,1227
68353,2,10
68350,1,15
68325,5,96
67458,6,662
67408,1,6
67432,3,49
67464,5,120
67432,5,30
67452,6,149
67447,7,5747
69066,1,16
69104,3,35
69054,2,31
69038,6,124
69035,2,5
69077,6,188
69090,3,67
68171,2,16
68159,7,182
68219,3,58
68100,5,28
68125,4,77
68082,4,1072
68088,4,144
68288,5,75
68259,7,102
68318,4,417
68275,7,118
68258,7,604
68235,2,31
68289,9,152
68011,7,278
68023,1,26
68009,3,50
68004,5,833
68009,5,70
69042,4,79
69096,6,1284
69084,2,54
69053,9,25
67453,3,45
67403,4,69
67465,7,496
69022,5,75
68343,4,431
68334,6,1007
69181,6,16
69219,1,21
68029,5,113
68075,4,93
68080,7,42
68090,6,120
68062,9,224
68080,5,46
68103,7,159
68072,5,148
68075,9,50
68214,9,36
68197,5,54
68165,2,5
68134,2,58
68195,4,819
68223,3,61
68188,2,42
67528,9,35
67516,7,169
68006,7,181
67525,3,153
68004,3,336
68013,4,118
67450,9,45
67385,6,33
67454,2,5
67412,7,196
67397,2,65
67424,9,39
69093,9,104
69039,7,131
69049,6,118
69057,3,86
68226,4,417
68300,3,485
68241,5,94
68307,2,10
68286,5,304
68234,6,94
69022,9,44
68381,4,129
68324,5,89
68374,3,620
69234,4,300
69231,2,75
69209,7,196
69212,6,25
68063,3,672
68116,6,56
67531,3,21
68018,5,102
67555,4,32
68019,6,55
68005,2,45
68013,7,247
67471,4,1106
67438,5,113
67441,3,30
67486,9,161
67422,9,73
68140,3,111
68331,6,229
69008,3,43
68364,5,100
69030,7,139
69045,7,264
69038,5,105
69052,2,135
69061,3,150
69104,6,59
68284,7,162
68287,1,21
68237,1,10
69173,1,21
67559,6,26
67554,2,21
67526,9,114
67516,2,10
67522,4,52
67500,3,185
69118,6,335
69110,2,100
69104,2,30
69039,5,100
69094,6,333
69077,1,26
67454,7,101
67416,2,16
67471,5,1026
67426,4,54
67398,6,75
67423,3,36
68037,5,67
68095,4,171
68113,3,106
68222,2,15
68196,3,10
68152,3,191
68162,1,52
68382,2,11
68334,9,991
69193,9,143
69225,5,58
69148,9,201
69231,7,527
69143,2,211
69142,2,182
68284,6,86
68252,9,149
68265,9,46
68311,2,10
